"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.571261083E0,-3.991348142E-1,1.965280171E0,-6.613961041E-1
1.581242083E0,-4.197139435E-1,1.292227058E0,7.192987418E-1
1.591223083E0,-4.868714811E-1,6.363805461E-1,2.514053639E0
1.601203083E0,-2.185328145E-1,3.327825844E-2,3.934738762E0
1.611184083E0,3.135029988E-1,-4.897627831E-1,4.760371460E0
1.621165083E0,8.453954823E-1,-8.971803975E-1,4.942834409E0
1.631145083E0,1.193897283E0,-1.089083676E0,4.419229696E0
1.641126083E0,1.192808458E0,-1.230172897E0,3.385450739E0
1.651107083E0,9.793669604E-1,-1.275166637E0,2.145130000E0
1.661087083E0,7.329422694E-1,-1.311048076E0,9.572190231E-1
1.671068083E0,5.985257450E-1,-1.371018289E0,-6.256403804E-2
1.681049083E0,5.483866017E-1,-1.450614097E0,-7.958452266E-1
1.691029083E0,5.535977134E-1,-1.525939683E0,-1.230268791E0
1.701010083E0,5.310762852E-1,-1.556866776E0,-1.459110686E0
1.710991083E0,4.169264296E-1,-1.620700244E0,-1.548280140E0
1.720972083E0,3.304114288E-1,-1.715059687E0,-1.525997570E0
1.730952083E0,3.835484762E-1,-1.805623117E0,-1.397490973E0
1.740933083E0,4.882589523E-1,-1.901718013E0,-1.182639127E0
1.750914083E0,5.704760303E-1,-1.972714906E0,-9.420378971E-1
1.760894083E0,6.538539268E-1,-1.978321801E0,-7.482904065E-1
1.770875083E0,6.702619448E-1,-1.891352654E0,-6.556401050E-1
1.780856083E0,5.935946419E-1,-1.775525159E0,-5.942303073E-1
1.790836083E0,4.957050525E-1,-1.577820858E0,-6.455255914E-1
1.800817083E0,3.897987112E-1,-1.310133571E0,-8.538794267E-1
1.810798083E0,1.789161743E-1,-1.038021696E0,-1.019701785E0
1.820778083E0,-6.185637876E-2,-8.349607605E-1,-1.235614901E0
1.830759083E0,-1.223701637E-1,-6.627099735E-1,-1.424386411E0
1.840740083E0,-2.515427589E-1,-4.964876658E-1,-1.457675194E0
1.850720083E0,-4.595975091E-1,-3.585658818E-1,-1.506570781E0
1.860701083E0,-4.762364922E-1,-1.502295882E-1,-1.546663384E0
1.870682083E0,-8.993565850E-2,-1.006071925E-2,-1.684396303E0
1.880662500E0,4.298900722E-1,2.095349729E-2,-1.957666512E0
1.890643500E0,5.131000440E-1,6.903222799E-2,-2.201098963E0
1.900624500E0,3.458601015E-1,4.439258748E-1,-1.991859859E0
1.910604500E0,1.904845981E-1,5.799835664E-1,-1.622214673E0
1.920585500E0,1.461221384E-1,5.093240583E-1,-1.416050620E0
1.930566500E0,2.930160362E-1,5.952600020E-1,-1.499684515E0
1.940546500E0,5.919536208E-1,7.086573941E-1,-1.615097442E0
1.950527500E0,1.063842927E0,6.824414027E-1,-1.846554796E0
1.960508500E0,1.452905913E0,6.085150552E-1,-2.141202425E0
1.970488500E0,1.552473178E0,6.686495751E-1,-1.923033453E0
1.980469500E0,1.118090032E0,6.624269682E-1,-1.035236667E0
1.990450500E0,5.637060144E-1,3.848280662E-1,-1.694008541E-1
2.000430500E0,-5.668488197E-2,5.110513258E-1,6.862514484E-1
2.010411500E0,-2.021076934E-1,4.736741692E-1,1.372062601E0
2.020392500E0,-7.764269158E-2,3.843684751E-1,1.735041377E0
