"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.153525039E2,6.062097168E1,2.485300271E1,9.513661219E1,3.674323082E0,5.354987419E1,2.614108006E0,3.323485809E0
1.163525056E2,6.062099235E1,2.485307362E1,9.485542147E1,3.771613121E0,5.482304055E1,2.614108006E0,3.277651238E0
1.173525057E2,6.062101500E1,2.485314633E1,9.465894439E1,3.933694601E0,5.436089469E1,2.614108006E0,3.339013495E0
1.183525072E2,6.062103679E1,2.485322429E1,9.479762525E1,4.035084724E0,5.812970453E1,2.614108006E0,3.383237422E0
1.193525060E2,6.062105952E1,2.485329820E1,9.461694362E1,4.035084724E0,5.607436958E1,2.614108006E0,3.423520251E0
1.203525066E2,6.062108227E1,2.485337143E1,9.472797403E1,4.084360123E0,5.806735236E1,2.614108006E0,3.317143188E0
1.213525065E2,6.062110672E1,2.485344297E1,9.484248378E1,4.214409351E0,5.539415638E1,2.614108006E0,3.268114325E0
1.223525071E2,6.062112775E1,2.485351727E1,9.485903374E1,4.244277000E0,5.761014137E1,2.614108006E0,3.283292469E0
1.233525078E2,6.062114753E1,2.485358545E1,9.509931484E1,4.244277000E0,5.639685994E1,2.614108006E0,3.389978125E0
1.243525076E2,6.062116969E1,2.485364847E1,9.494994891E1,4.244277000E0,5.429018571E1,2.614108006E0,3.554512040E0
1.253525084E2,6.062119045E1,2.485371645E1,9.496296125E1,4.257122517E0,5.637566260E1,2.614108006E0,3.608622665E0
1.263525078E2,6.062120982E1,2.485378400E1,9.487632986E1,4.257122517E0,5.616364997E1,2.614108006E0,3.602383848E0
1.273525083E2,6.062122589E1,2.485385567E1,9.489453275E1,4.257122517E0,6.065196130E1,2.614108006E0,3.496318407E0
1.283525090E2,6.062124080E1,2.485393225E1,9.490918217E1,4.251797676E0,6.336085674E1,2.614108006E0,3.603739497E0
1.293525082E2,6.062126422E1,2.485399325E1,9.904278678E1,3.835858804E0,6.488492633E1,1.999999958E0,3.000000000E0
1.303525088E2,6.062128427E1,2.485405998E1,9.896758228E1,3.771085052E0,6.061735512E1,2.330319705E0,3.000000000E0
1.313525084E2,6.062130350E1,2.485411792E1,9.862755297E1,3.595013336E0,5.782051310E1,2.321487905E0,3.000000000E0
1.323525087E2,6.062131609E1,2.485417658E1,9.793045452E1,3.647266757E0,6.039149801E1,2.271626195E0,3.000000000E0
1.333525084E2,6.062132713E1,2.485424565E1,9.724414531E1,3.677795348E0,6.686545241E1,2.296311076E0,3.000000000E0
1.343534554E2,6.062133901E1,2.485430869E1,9.722376266E1,3.514575738E0,6.932696108E1,2.338341681E0,3.000000000E0
1.353534703E2,6.062136875E1,2.485435979E1,9.742879698E1,3.547563827E0,5.523884239E1,2.290007114E0,3.000000000E0
1.363534329E2,6.062138911E1,2.485442830E1,9.688661417E1,3.713092052E0,5.635210952E1,2.253756219E0,3.000000000E0
1.373534036E2,6.062140410E1,2.485448538E1,9.731150235E1,3.420666954E0,5.963769944E1,2.227243285E0,3.000000000E0
1.383533741E2,6.062143120E1,2.485454332E1,9.791743285E1,3.511747112E0,5.561886690E1,2.247231316E0,3.000000000E0
1.393533286E2,6.062144428E1,2.485460186E1,9.764877767E1,3.294168304E0,6.054303258E1,2.327311103E0,3.000000000E0
1.403532974E2,6.062147296E1,2.485466447E1,9.772260864E1,3.715704713E0,5.357562380E1,2.375190399E0,3.000000000E0
1.413532717E2,6.062148955E1,2.485472305E1,9.763328064E1,3.495757871E0,5.547640091E1,2.392061068E0,3.000000000E0
1.423532281E2,6.062150755E1,2.485478357E1,9.773720138E1,3.443587762E0,5.656178224E1,2.415627018E0,3.000000000E0
1.433531950E2,6.062152361E1,2.485484686E1,9.764496786E1,3.423210990E0,6.025101096E1,2.474460422E0,3.000000000E0
1.443531643E2,6.062153641E1,2.485490264E1,9.740953068E1,3.173305525E0,6.248527716E1,2.511399871E0,3.000000000E0
